,0
EIMMagnitude,13.584656868960725
EIMPhase,2.622510706368152
JointAngle,50.42846290345227
Mass,2.5666176350502603
RollingAverageMag,12.693566411315105
RollingAveragePhase,1.2839093741014533
MedianEIMMagnitude,9.790462332622717
MedianEIMPhase,2.909487217815806
MeanEIMMagnitude,8.74641389778505
MeanEIMPhase,0.8189389284630715
StdEIMMagnitude,4.490851680024246
StdEIMPhase,0.5641178346109917
VarEIMMagnitude,94.27960624893281
VarEIMPhase,3.3653044345595293
KurtEIMMagnitude,0.5105254452434257
KurtEIMPhase,1.298665808720926
ROCEIMMagnitude,0.004065490949172421
ROCEIMPhase,0.008082868475843639
